Timestamp,Consumer,Consumption
2025-06-01 00:00:00,Consumer 1,221.67
2025-06-01 00:00:00,Consumer 2,1.22
2025-06-01 00:00:00,Consumer 3,25.7
2025-06-01 00:00:00,Consumer 4,80.34
2025-06-01 00:00:00,Consumer 5,135.91
2025-06-01 01:00:00,Consumer 1,220.14
2025-06-01 01:00:00,Consumer 2,1.3
2025-06-01 01:00:00,Consumer 3,27.3
2025-06-01 01:00:00,Consumer 4,57.67
2025-06-01 01:00:00,Consumer 5,123.47
2025-06-01 02:00:00,Consumer 1,218.46
2025-06-01 02:00:00,Consumer 2,1.17
2025-06-01 02:00:00,Consumer 3,25.81
2025-06-01 02:00:00,Consumer 4,57.38
2025-06-01 02:00:00,Consumer 5,128.46
2025-06-01 03:00:00,Consumer 1,220.11
2025-06-01 03:00:00,Consumer 2,1.18
2025-06-01 03:00:00,Consumer 3,24.24
2025-06-01 03:00:00,Consumer 4,85.83
2025-06-01 04:00:00,Consumer 1,218.95
2025-06-01 04:00:00,Consumer 2,1.38
2025-06-01 04:00:00,Consumer 3,24.27
2025-06-01 04:00:00,Consumer 4,114.12
2025-06-01 04:00:00,Consumer 5,132.66
2025-06-01 05:00:00,Consumer 1,217.14
2025-06-01 05:00:00,Consumer 2,1.0
2025-06-01 05:00:00,Consumer 3,23.1
2025-06-01 05:00:00,Consumer 5,122.41
2025-06-01 06:00:00,Consumer 3,16.55
2025-06-01 06:00:00,Consumer 4,118.71
2025-06-01 06:00:00,Consumer 5,134.22
2025-06-01 07:00:00,Consumer 1,214.68
2025-06-01 07:00:00,Consumer 2,35.9
2025-06-01 07:00:00,Consumer 3,3.49
2025-06-01 07:00:00,Consumer 4,95.54
2025-06-01 07:00:00,Consumer 5,127.7
2025-06-01 08:00:00,Consumer 1,168.34
2025-06-01 08:00:00,Consumer 3,0.06
2025-06-01 08:00:00,Consumer 4,105.91
2025-06-01 08:00:00,Consumer 5,151.35
2025-06-01 09:00:00,Consumer 1,202.35
2025-06-01 09:00:00,Consumer 2,77.1
2025-06-01 09:00:00,Consumer 4,115.91
2025-06-01 10:00:00,Consumer 1,73.29
2025-06-01 10:00:00,Consumer 2,99.74
2025-06-01 10:00:00,Consumer 3,0.69
2025-06-01 10:00:00,Consumer 4,89.87
2025-06-01 10:00:00,Consumer 5,154.78
